Zipcode,State,CountyName,State Latitude,State Longitude,ZipLatitude,ZipLongitude
24128,VA,Giles County,37.926868,-78.024902,37.29,-80.49
55750,MN,Saint Louis County,46.39241,-94.63623,47.55,-92.11
68883,NE,Hall County,41.5,-100,40.82,-98.59
12523,NY,Columbia County,43,-75,42.04,-73.79
47513,IN,Dubois County,40.273502,-86.126976,38.31,-86.69
15034,PA,Allegheny County,41.203323,-77.194527,40.35,-79.88
77983,TX,Calhoun County,31,-100,28.41,-96.71
75705,TX,Smith County,31,-100,32.32,-95.3
62844,IL,White County,40,-89,38.25,-87.99
64740,MO,Henry County,38.573936,-92.60376,38.25,-93.77
15724,PA,Indiana County,41.203323,-77.194527,40.72,-78.8
49410,MI,Mason County,44.182205,-84.506836,44.04,-86.17
75456,TX,Titus County,31,-100,33.16,-94.97
8740,NJ,Ocean County,39.833851,-74.871826,39.92,-74.13
71603,AR,Jefferson County,34.799999,-92.199997,34.21,-92.01
95638,CA,Sacramento County,36.778259,-119.417931,38.33,-121.14
52565,IA,Van Buren County,42.032974,-93.581543,40.73,-91.96
75668,TX,Morris County,31,-100,32.93,-94.7
75930,TX,Sabine County,31,-100,31.34,-94
12193,NY,Albany County,43,-75,42.51,-74.04
6060,CT,Hartford County,41.599998,-72.699997,42.01,-72.84
71027,LA,De Soto Parish,30.39183,-92.329102,32.23,-93.67
64469,MO,DeKalb County,38.573936,-92.60376,39.88,-94.36
38374,TN,Decatur County,35.860119,-86.660156,35.51,-88.25
52076,IA,Clayton County,42.032974,-93.581543,42.68,-91.53
62935,IL,Saline County,40,-89,37.84,-88.61
68756,NE,Antelope County,41.5,-100,42.13,-98.02
69334,NE,Morrill County,41.5,-100,41.75,-103.32
97836,OR,Morrow County,44,-120.5,45.31,-119.58
97049,OR,Clackamas County,44,-120.5,45.36,-121.85
67017,KS,Butler County,38.5,-98,37.78,-97.1
21520,MD,Garrett County,39.045753,-76.641273,39.62,-79.32
56531,MN,Grant County,46.39241,-94.63623,45.99,-95.97
61028,IL,Jo Daviess County,40,-89,42.31,-90.22
73550,OK,Harmon County,36.084621,-96.921387,34.68,-99.91
39834,GA,Decatur County,33.247875,-83.441162,30.89,-84.44
52324,IA,Linn County,42.032974,-93.581543,42.06,-91.79
36868,AL,Russell County,32.31823,-86.902298,32.46,-85.01
